Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F628A -DL -O11111114 -fo4 -N"C:\Users\ABMS-Telecom\Documents\PROTEUS\WR_Kits_Curso_PIC\Arquivos C\aula015.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Users\ABMS-Telecom\Documents\PROTEUS\WR_Kits_Curso_PIC\Arquivos C\" "aula015.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_EEPROM.mcl" "__Lib_PWM_b3.mcl" "__Lib_UART_b21.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl"	 
diagnostics: 0	125	All files Preprocessed in 47 ms	 
diagnostics: 0	121	Compilation Started	aula015.c
diagnostics: 48	122	Compiled Successfully	aula015.c
diagnostics: 0	126	All files Compiled in 78 ms	 
hint: 0	1141	Used RAM (bytes): 3 (1%)  Free RAM (bytes): 205 (99%)	Used RAM (bytes): 3 (1%)  Free RAM (bytes): 205 (99%)
hint: 0	1141	Used ROM (program words): 55 (3%)  Free ROM (program words): 1993 (97%)	Used ROM (program words): 55 (3%)  Free ROM (program words): 1993 (97%)
diagnostics: 0	124	Project Linked Successfully	aula015.mcppi
diagnostics: 0	127	Linked in 594 ms	 
diagnostics: 0	128	Project 'aula015.mcppi' completed: 1203 ms	 
diagnostics: 0	103	Finished successfully: 07 jan 2023, 11:37:26	aula015.mcppi
